id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
zXrbBeIy83GaG9envfIVUg,han-mi-chattanooga-2,Han-Mi,https://s3-media2.fl.yelpcdn.com/bphoto/QCgKvz7YHRU04sjTE0vJ4A/o.jpg,False,https://www.yelp.com/biz/han-mi-chattanooga-2?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,129,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 35.020864, 'longitude': -85.320737}",[],$$,"{'address1': '3103 Broad St', 'address2': None, 'address3': None, 'city': 'Chattanooga', 'zip_code': '37408', 'country': 'US', 'state': 'TN', 'display_address': ['3103 Broad St', 'Chattanooga, TN 37408']}",+14235417273,(423) 541-7273,10116.89616386589
NEiSS5cDAeRgHc7TS0pxCg,steam-boys-cleveland,Steam Boys,https://s3-media3.fl.yelpcdn.com/bphoto/8Jm2hRDWI2wfRw2p4prO3g/o.jpg,False,https://www.yelp.com/biz/steam-boys-cleveland?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,34,"[{'alias': 'dimsum', 'title': 'Dim Sum'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.0,"{'latitude': 35.2100599, 'longitude': -84.8566357}","['pickup', 'delivery']",$$,"{'address1': '674 Sgt Paul Huff Pkwy NW', 'address2': 'Ste 402', 'address3': None, 'city': 'Cleveland', 'zip_code': '37312', 'country': 'US', 'state': 'TN', 'display_address': ['674 Sgt Paul Huff Pkwy NW', 'Ste 402', 'Cleveland, TN 37312']}",+14237900650,(423) 790-0650,38425.80338282511
xJkuexCB2mHcoeEysXeqFw,thai-esan-chattanooga,Thai Esan,https://s3-media3.fl.yelpcdn.com/bphoto/tm_6Y-iqs5Qvgh8RGyykVQ/o.jpg,False,https://www.yelp.com/biz/thai-esan-chattanooga?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,262,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'laotian', 'title': 'Laotian'}]",4.5,"{'latitude': 34.99573, 'longitude': -85.23878}","['pickup', 'delivery']",$$,"{'address1': '4330 Ringgold Rd', 'address2': '', 'address3': '', 'city': 'Chattanooga', 'zip_code': '37412', 'country': 'US', 'state': 'TN', 'display_address': ['4330 Ringgold Rd', 'Chattanooga, TN 37412']}",+14236688924,(423) 668-8924,11394.125403213347
Pn4YyKqmWqYn4sLYre3gIA,super-pho-and-grill-chattanooga,Super Pho & Grill,https://s3-media3.fl.yelpcdn.com/bphoto/hSahwJn0zoLz3e9GB3ULnA/o.jpg,False,https://www.yelp.com/biz/super-pho-and-grill-chattanooga?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,49,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]",4.5,"{'latitude': 35.045631, 'longitude': -85.161837}",['delivery'],,"{'address1': '7003 Lee Hwy', 'address2': 'Ste 1731', 'address3': None, 'city': 'Chattanooga', 'zip_code': '37421', 'country': 'US', 'state': 'TN', 'display_address': ['7003 Lee Hwy', 'Ste 1731', 'Chattanooga, TN 37421']}",+14238993236,(423) 899-3236,10542.414263431663
LpqPw6eU66voDREOx61OXg,volcano-korean-bbq-chattanooga,Volcano Korean BBQ,https://s3-media3.fl.yelpcdn.com/bphoto/Rl8QsWxx35AzKubHOrkISA/o.jpg,False,https://www.yelp.com/biz/volcano-korean-bbq-chattanooga?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,48,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'korean', 'title': 'Korean'}]",4.0,"{'latitude': 35.0312, 'longitude': -85.15562}","['pickup', 'delivery']",,"{'address1': '2011 Gunbarrel Rd', 'address2': None, 'address3': '', 'city': 'Chattanooga', 'zip_code': '37421', 'country': 'US', 'state': 'TN', 'display_address': ['2011 Gunbarrel Rd', 'Chattanooga, TN 37421']}",+14232129968,(423) 212-9968,11934.090408666278
e_uOEiLn01_GEi3Q9I73YQ,vietnamese-bistro-dayton,Vietnamese Bistro,https://s3-media4.fl.yelpcdn.com/bphoto/RjWpC1vJ3Pqpq_-mwgfGOw/o.jpg,False,https://www.yelp.com/biz/vietnamese-bistro-dayton?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,41,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 35.47575, 'longitude': -85.02739}",[],$,"{'address1': '200 Able Dr', 'address2': 'Ste 11', 'address3': None, 'city': 'Dayton', 'zip_code': '37321', 'country': 'US', 'state': 'TN', 'display_address': ['200 Able Dr', 'Ste 11', 'Dayton, TN 37321']}",+14235700100,(423) 570-0100,47122.95960598666
bnAxj8NRar9NZSfG6nxD-g,golden-big-bowl-chattanooga,Golden Big Bowl,https://s3-media1.fl.yelpcdn.com/bphoto/n27PfeklGFI6dKzGGuzKsQ/o.jpg,False,https://www.yelp.com/biz/golden-big-bowl-chattanooga?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,88,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}]",4.5,"{'latitude': 35.0103968783496, 'longitude': -85.2194368518518}",[],,"{'address1': '5517 Brainerd Rd', 'address2': '', 'address3': None, 'city': 'Chattanooga', 'zip_code': '37411', 'country': 'US', 'state': 'TN', 'display_address': ['5517 Brainerd Rd', 'Chattanooga, TN 37411']}",+14234981243,(423) 498-1243,10267.236972110139
0nzBdZZeGjZxffzD7TkJig,taichi-bubble-tea-chattanooga-2,TaiChi Bubble Tea,https://s3-media4.fl.yelpcdn.com/bphoto/os1LKG9c7t7Nwmg2KWli4w/o.jpg,False,https://www.yelp.com/biz/taichi-bubble-tea-chattanooga-2?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,171,"[{'alias': 'ramen', 'title': 'Ramen'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}, {'alias': 'poke', 'title': 'Poke'}]",4.0,"{'latitude': 35.0259401, 'longitude': -85.1559672}","['pickup', 'delivery']",$$,"{'address1': '1820 Gunbarrel Rd', 'address2': 'Ste 500', 'address3': '', 'city': 'Chattanooga', 'zip_code': '37421', 'country': 'US', 'state': 'TN', 'display_address': ['1820 Gunbarrel Rd', 'Ste 500', 'Chattanooga, TN 37421']}",+14235413000,(423) 541-3000,12272.249176417938
6X2NAW2x8iiiyeRGogSRuA,sweet-basil-thai-cuisine-chattanooga,Sweet Basil Thai Cuisine,https://s3-media4.fl.yelpcdn.com/bphoto/R7-sIOxtrb_MhMH6sdP8mg/o.jpg,False,https://www.yelp.com/biz/sweet-basil-thai-cuisine-chattanooga?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,154,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'noodles', 'title': 'Noodles'}]",4.0,"{'latitude': 35.014488, 'longitude': -85.211447}","['pickup', 'delivery']",$$,"{'address1': '5855 Brainerd Rd', 'address2': 'Ste 125', 'address3': '', 'city': 'Chattanooga', 'zip_code': '37411', 'country': 'US', 'state': 'TN', 'display_address': ['5855 Brainerd Rd', 'Ste 125', 'Chattanooga, TN 37411']}",+14234858836,(423) 485-8836,10136.717740857655
fPLHXSBoMYkv9EKxh0ex7Q,asian-food-and-gifts-of-chattanooga-chattanooga,Asian Food & Gifts of Chattanooga,https://s3-media2.fl.yelpcdn.com/bphoto/ALE8S1lK9cx772NKQc85-w/o.jpg,False,https://www.yelp.com/biz/asian-food-and-gifts-of-chattanooga-chattanooga?adjust_creative=dDrgJ5jr3huSDkINiLtKBw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=dDrgJ5jr3huSDkINiLtKBw,34,"[{'alias': 'importedfood', 'title': 'Imported Food'}]",4.5,"{'latitude': 35.1078071594238, 'longitude': -85.2723388671875}",[],$,"{'address1': '3639 Hixson Pike', 'address2': '', 'address3': '', 'city': 'Chattanooga', 'zip_code': '37415', 'country': 'US', 'state': 'TN', 'display_address': ['3639 Hixson Pike', 'Chattanooga, TN 37415']}",+14238701067,(423) 870-1067,1702.971370967428
